gid;place_name;stop_name;lon;lat
de:07334:1714;Wörth;Alte Bahnmeisterei;8.266297;49.048772
de:07334:1721;Maximiliansau;Eisenbahnstraße;8.298412;49.037236
de:07334:1723;Maximiliansau;West;8.291684;49.038968
de:07334:1731;Wörth;Bahnhof;8.273071;49.045687
de:07334:1734;Wörth;Bienwaldhalle;8.260818;49.049790
de:07334:1735;Wörth;Bürgerpark;8.254556;49.050850
de:07334:1736;Wörth;Rathaus;8.249768;49.052316
de:07334:1738;Wörth;Badepark;8.244010;49.058586
de:07334:1739;Wörth;Badallee;8.249876;49.056013
de:07334:1741;Wörth;Zügelstr.;8.261985;49.052899
de:07334:1743;Rheinzabern;Alte Römerstraße;8.273017;49.109390
de:07334:1744;Rheinzabern;Rappengasse;8.273241;49.114606
de:07334:1745;Rülzheim;Freizeitzentrum;8.279350;49.151459
de:07334:1746;Bellheim;Am Mühlbuckel;8.298699;49.193058
de:07334:1747;Germersheim;Süd/Nolte;8.374311;49.208478
de:07334:1748;Germersheim;Mitte/Rhein;8.379215;49.220008
de:07334:1752;Wörth;Ottstraße;8.268247;49.051822
de:07334:1753;Wörth;Wasserturm;8.257494;49.048601
de:07334:1754;Wörth;Silcherstraße;8.245340;49.056066
de:07334:1755;Wörth;Richard-Wagner-Straße;8.241585;49.053270
de:07334:32429;Wörth;Dorschbergstraße;8.251502;49.050049
de:07334:32431;Wörth;Berufsschule;8.247208;49.051451
de:07334:32451;Rülzheim;Bahnhof;8.290390;49.160877
de:07334:32625;Sondernheim;Scherer;8.360099;49.197860
de:07334:32636;Germersheim;Wasserturm;8.366163;49.212539
de:07334:32637;Germersheim;Bahnhof;8.365211;49.224761
de:07334:32660;Bellheim;Bahnhof;8.294531;49.188473
de:07334:35002;Sondernheim;Bahnhof;8.360243;49.195025
de:07334:35003;Rheinzabern;Bahnhof;8.274158;49.119592
de:07334:35004;Jockgrim;Bahnhof;8.272271;49.091792
de:08115:4510;Bondorf;Bondorf;8.827879;48.523270
de:08121:1113;Heilbronn;Hbf/Busbahnhof;9.206797;49.141957
de:08121:1114;Heilbronn;Hauptbahnhof/Willy-Brandt-Pl.;9.208450;49.142762
de:08121:1123;Heilbronn;Harmonie (Stadtbahn);9.223138;49.141593
de:08121:137;Heilbronn;Neckarturm;9.213912;49.142451
de:08121:173;Heilbronn;Pfühlpark;9.242820;49.139683
de:08121:2000;Böckingen;Berufsschulzentrum;9.181986;49.140335
de:08121:2001;Böckingen;Böckingen West;9.165717;49.139289
de:08121:23;Heilbronn;Harmonie/Kunsthalle;9.222590;49.142322
de:08121:24;Heilbronn;Harmonie/Hafenmarktpassage;9.222257;49.142298
de:08121:26;Heilbronn;Heilbronn Hauptbahnhof;9.207974;49.142927
de:08121:3032;Heilbronn;Friedensplatz;9.228932;49.141305
de:08121:3033;Heilbronn;Finanzamt;9.234933;49.140482
de:08121:31001;Heilbronn;Technisches Schulzentrum;9.221557;49.149238
de:08121:31002;Heilbronn;Theater;9.221979;49.146318
de:08121:31003;Heilbronn;Industrieplatz(S-Bahn);9.218026;49.155337
de:08121:31004;Heilbronn;Hans-Rießer-Straße;9.219562;49.162204
de:08121:31501;Heilbronn;Kaufland (S-Bahn);9.224584;49.169776
de:08121:55;Heilbronn;Rathaus;9.218709;49.141993
de:08121:59;Böckingen;Sandhof;9.182974;49.140711
de:08121:75;Heilbronn;Heilbronn Sülmertor;9.220353;49.151224
de:08121:77;Böckingen;Sonnenbrunnen;9.191113;49.140547
de:08121:8170;Heilbronn;Trappensee (S-Bahn);9.252917;49.140371
de:08121:8194;Heilbronn;Pfühlpark West;9.244652;49.141123
de:08125:10013;Weinsberg;Weidachstraße;9.282912;49.150448
de:08125:1023;Eschenau;Eschenau;9.402747;49.143803
de:08125:1110;Eppingen;Eppingen West;8.905089;49.132730
de:08125:1120;Kochendorf;Bad Friedrichshall-Kochendorf;9.211523;49.217937
de:08125:1565;Wieslensdorf;Wieslensdorf;9.422339;49.149685
de:08125:1598;Ellhofen;Weinsberg/Ellhofen Gewerbegebiet;9.307355;49.148656
de:08125:1621;Neckarsulm;Bahnhof West;9.218781;49.188766
de:08125:1630;Bad Rappenau;Bad Rappenau Kurpark;9.113400;49.240388
de:08125:1700;Stetten am Heuchelb;Stetten am Heuchelb;9.014621;49.136756
de:08125:1705;Schwaigern;Schwaigern West;9.041615;49.138901
de:08125:1800;Schwaigern;Heilbronner Straße (Ersatzhalt);9.066588;49.138813
de:08125:1801;Leingarten;Allmandstr.(Ersatzhalt);9.130243;49.143444
de:08125:1939;Weinsberg;Weinsberg West;9.275231;49.151447
de:08125:2002;Bad Wimpfen;Bad Wimpfen;9.166831;49.229730
de:08125:2003;Ellhofen;Ellhofen;9.316042;49.149955
de:08125:2004;Sülzbach;Sülzbach;9.339541;49.148650
de:08125:2005;Sülzbach;Sülzbach Schule;9.351220;49.144972
de:08125:2006;Sülzbach;M.-Beheim-Schule;9.351588;49.143127
de:08125:2017;Willsbach;Willsbach;9.357984;49.142604
de:08125:2032;Affaltrach;Affaltrach;9.379130;49.137826
de:08125:31502;Neckarsulm;Neckarsulm Süd;9.220658;49.180147
de:08125:31503;Neckarsulm;Neckarsulm Mitte;9.222680;49.192958
de:08125:31504;Neckarsulm;Neckarsulm Nord;9.228788;49.202262
de:08125:33415;Elsenz;Freudenhälde;8.843123;49.171461
de:08125:34554;Offenau;Saline;9.163418;49.245296
de:08125:3900;Gemmingen;Gemmingen;8.984698;49.151424
de:08125:4344;Weinsberg;Weinsberg;9.286406;49.148151
de:08125:4391;Schwaigern;Schwaigern Ost;9.069095;49.140488
de:08125:4402;Leingarten;Kirche;9.102413;49.148327
de:08125:4405;Gemmingen;Gemmingen West;8.977637;49.154397
de:08125:4557;Offenau;Offenau;9.165277;49.246493
de:08125:4569;Gundelsheim;Gundelsheim;9.158073;49.282761
de:08125:4595;Bad Wimpfen;Bad Wimpfen Im Tal;9.186406;49.229706
